Date,Close
2020-02-25,17.200000762939453
2020-02-26,16.399999618530273
2020-02-27,16.0
2020-02-28,15.600000381469727
2020-03-02,15.399999618530273
2020-03-03,14.399999618530273
2020-03-04,14.0
2020-03-05,13.199999809265137
2020-03-06,11.0
2020-03-09,5.400000095367432
2020-03-10,5.400000095367432
2020-03-11,5.599999904632568
2020-03-12,4.800000190734863
2020-03-13,8.600000381469727
2020-03-16,5.0
2020-03-17,5.400000095367432
2020-03-18,3.799999952316284
2020-03-19,4.599999904632568
2020-03-20,4.0
2020-03-23,3.200000047683716
2020-03-24,4.0
2020-03-25,3.5999999046325684
2020-03-26,3.5999999046325684
2020-03-27,3.200000047683716
2020-03-30,3.5999999046325684
2020-03-31,3.5999999046325684
2020-04-01,3.200000047683716
2020-04-02,3.5999999046325684
2020-04-03,3.4000000953674316
2020-04-06,3.5999999046325684
2020-04-07,3.5999999046325684
2020-04-08,3.5999999046325684
2020-04-09,4.599999904632568
2020-04-13,5.199999809265137
2020-04-14,4.599999904632568
2020-04-15,3.799999952316284
2020-04-16,3.799999952316284
2020-04-17,4.599999904632568
2020-04-20,4.0
2020-04-21,4.0
2020-04-22,4.599999904632568
2020-04-23,7.0
2020-04-24,6.599999904632568
2020-04-27,6.599999904632568
2020-04-28,6.199999809265137
2020-04-29,6.599999904632568
2020-04-30,8.600000381469727
2020-05-01,8.399999618530273
2020-05-04,7.800000190734863
2020-05-05,8.199999809265137
2020-05-06,7.599999904632568
2020-05-07,7.599999904632568
2020-05-08,9.199999809265137
2020-05-11,10.600000381469727
2020-05-12,9.399999618530273
2020-05-13,8.0
2020-05-14,7.199999809265137
2020-05-15,6.599999904632568
2020-05-18,7.199999809265137
2020-05-19,7.0
2020-05-20,6.599999904632568
2020-05-21,6.599999904632568
2020-05-22,6.599999904632568
2020-05-26,6.400000095367432
2020-05-27,6.599999904632568
2020-05-28,6.400000095367432
2020-05-29,5.800000190734863
2020-06-01,6.199999809265137
2020-06-02,6.800000190734863
2020-06-03,6.599999904632568
2020-06-04,6.599999904632568
2020-06-05,10.399999618530273
2020-06-08,19.0
2020-06-09,16.0
2020-06-10,14.0
2020-06-11,11.199999809265137
2020-06-12,12.399999618530273
2020-06-15,13.399999618530273
2020-06-16,14.0
2020-06-17,13.199999809265137
2020-06-18,13.399999618530273
2020-06-19,13.199999809265137
2020-06-22,12.0
2020-06-23,12.0
2020-06-24,10.199999809265137
2020-06-25,11.399999618530273
2020-06-26,10.600000381469727
2020-06-29,10.800000190734863
2020-06-30,10.600000381469727
2020-07-01,10.199999809265137
2020-07-02,9.800000190734863
2020-07-06,8.0
2020-07-07,7.199999809265137
2020-07-08,6.800000190734863
2020-07-09,6.599999904632568
2020-07-10,8.0
2020-07-13,7.400000095367432
2020-07-14,7.599999904632568
2020-07-15,8.199999809265137
2020-07-16,8.0
2020-07-17,8.399999618530273
2020-07-20,9.399999618530273
2020-07-21,10.199999809265137
2020-07-22,10.199999809265137
2020-07-23,9.800000190734863
2020-07-24,10.199999809265137
